2023-03-23 10:00:21,861 INFO    StreamThr :3298456 [internal.py:wandb_internal():87] W&B internal server running at pid: 3298456, started at: 2023-03-23 10:00:21.846343
2023-03-23 10:00:21,865 DEBUG   HandlerThread:3298456 [handler.py:handle_request():144] handle_request: status
2023-03-23 10:00:21,868 INFO    WriterThread:3298456 [datastore.py:open_for_write():85] open: /mnt/nfs_share_magnet2/dsileo/libs/modlog/src/wandb/run-20230323_100021-xfmgiyr6/run-xfmgiyr6.wandb
2023-03-23 10:00:21,945 DEBUG   SenderThread:3298456 [sender.py:send():336] send: header
2023-03-23 10:00:21,946 DEBUG   SenderThread:3298456 [sender.py:send():336] send: run
2023-03-23 10:00:22,369 INFO    SenderThread:3298456 [dir_watcher.py:__init__():219] watching files in: /mnt/nfs_share_magnet2/dsileo/libs/modlog/src/wandb/run-20230323_100021-xfmgiyr6/files
2023-03-23 10:00:22,370 INFO    SenderThread:3298456 [sender.py:_start_run_threads():1078] run started: xfmgiyr6 with start time 1679562021.846071
2023-03-23 10:00:25,892 DEBUG   HandlerThread:3298456 [handler.py:handle_request():144] handle_request: status_report
2023-03-23 10:00:26,948 DEBUG   HandlerThread:3298456 [handler.py:handle_request():144] handle_request: keepalive
2023-03-23 10:00:27,371 DEBUG   HandlerThread:3298456 [handler.py:handle_request():144] handle_request: status_report
2023-03-23 10:00:30,893 DEBUG   HandlerThread:3298456 [handler.py:handle_request():144] handle_request: status_report
2023-03-23 10:00:31,954 DEBUG   HandlerThread:3298456 [handler.py:handle_request():144] handle_request: keepalive
2023-03-23 10:00:32,373 DEBUG   HandlerThread:3298456 [handler.py:handle_request():144] handle_request: status_report
2023-03-23 10:00:35,894 DEBUG   HandlerThread:3298456 [handler.py:handle_request():144] handle_request: status_report
2023-03-23 10:00:36,959 DEBUG   HandlerThread:3298456 [handler.py:handle_request():144] handle_request: keepalive
2023-03-23 10:00:37,374 DEBUG   HandlerThread:3298456 [handler.py:handle_request():144] handle_request: status_report
2023-03-23 10:00:40,895 DEBUG   HandlerThread:3298456 [handler.py:handle_request():144] handle_request: status_report
2023-03-23 10:00:41,965 DEBUG   HandlerThread:3298456 [handler.py:handle_request():144] handle_request: keepalive
2023-03-23 10:00:42,375 DEBUG   HandlerThread:3298456 [handler.py:handle_request():144] handle_request: status_report
2023-03-23 10:00:45,897 DEBUG   HandlerThread:3298456 [handler.py:handle_request():144] handle_request: status_report
2023-03-23 10:00:46,970 DEBUG   HandlerThread:3298456 [handler.py:handle_request():144] handle_request: keepalive
2023-03-23 10:00:47,376 DEBUG   HandlerThread:3298456 [handler.py:handle_request():144] handle_request: status_report
2023-03-23 10:00:50,898 DEBUG   HandlerThread:3298456 [handler.py:handle_request():144] handle_request: status_report
